Source,Target,Weight
CYP1027B,CYP105Q,0.01
CYP1027B,CYP108B,0.01
CYP1027B,CYP123A,0.01
CYP1027B,CYP123B,0.01
CYP1027B,CYP124A,0.01
CYP1027B,CYP125A,0.01
CYP1027B,CYP126A,0.01
CYP1027B,CYP130A,0.01
CYP1027B,CYP136A,0.01
CYP1027B,CYP136D,0.005
CYP1027B,CYP138A,0.01
CYP1027B,CYP140A,0.01
CYP1027B,CYP140B,0.01
CYP1027B,CYP142A,0.01
CYP1027B,CYP143A,0.01
CYP1027B,CYP150A,0.01
CYP1027B,CYP153A1,0.005
CYP1027B,CYP164A,0.01
CYP1027B,CYP185A,0.01
CYP1027B,CYP187A,0.01
CYP1027B,CYP188A,0.01
CYP1027B,CYP189A,0.01
CYP1027B,CYP189A1,0.01
CYP1027B,CYP190A,0.01
CYP1027B,CYP191A,0.01
CYP1027B,CYP243A,0.01
CYP1027B,CYP268A,0.01
CYP1027B,CYP279A,0.01
CYP1027B,CYP291A,0.01
CYP1027B,CYP51B,0.01
CYP1027B,New_subf_1_CYP144,0.01
CYP1027B,New_subf_2_New_family_1,0.01
CYP1027B,New_subf_3_CYP187,0.01
CYP1027B,New_subf_4_CYP143,0.01
CYP1027B,New_subf_5_CYP291,0.01
CYP1027B,New_subf_6_CYP124,0.01
CYP1027B,New_subf_7_New_family_2,0.01
CYP1027B,New_subf_8_CYP150,0.01
CYP1027B,New_subf_9_CYP105,0.01
CYP102B,CYP105Q,0.005
CYP102B,CYP105S,0.005
CYP102B,CYP108B,0.005
CYP102B,CYP123A,0.005
CYP102B,CYP124A,0.005
CYP102B,CYP125A,0.005
CYP102B,CYP126A,0.005
CYP102B,CYP130A,0.005
CYP102B,CYP135B,0.005
CYP102B,CYP136A,0.005
CYP102B,CYP136B,0.005
CYP102B,CYP138A,0.005
CYP102B,CYP140A,0.005
CYP102B,CYP142A,0.005
CYP102B,CYP144A,0.005
CYP102B,CYP150A,0.005
CYP102B,CYP151A,0.005
CYP102B,CYP185A,0.005
CYP102B,CYP187A,0.005
CYP102B,CYP188A,0.005
CYP102B,CYP189A,0.005
CYP102B,CYP190A,0.005
CYP102B,CYP191A,0.005
CYP102B,CYP268A,0.005
CYP102B,CYP268B,0.005
CYP102B,CYP279A,0.005
CYP102B,CYP282B,0.005
CYP102B,CYP51B,0.005
CYP102B,New_subf_2_New_family_1,0.005
CYP102B,New_subf_3_CYP187,0.005
CYP1034A,CYP105Q,0.02
CYP1034A,CYP108B,0.02
CYP1034A,CYP123A,0.02
CYP1034A,CYP124A,0.02
CYP1034A,CYP125A,0.02
CYP1034A,CYP125F,0.02
CYP1034A,CYP126A,0.02
CYP1034A,CYP130A,0.02
CYP1034A,CYP136A,0.02
CYP1034A,CYP138A,0.02
CYP1034A,CYP139A,0.02
CYP1034A,CYP140A,0.02
CYP1034A,CYP140B,0.02
CYP1034A,CYP142A,0.02
CYP1034A,CYP143A,0.015
CYP1034A,CYP150A,0.02
CYP1034A,CYP164A,0.02
CYP1034A,CYP185A,0.02
CYP1034A,CYP187A,0.02
CYP1034A,CYP188A,0.02
CYP1034A,CYP189A,0.02
CYP1034A,CYP190A,0.02
CYP1034A,CYP191A,0.02
CYP1034A,CYP243A,0.02
CYP1034A,CYP268A,0.02
CYP1034A,CYP272A,0.02
CYP1034A,CYP279A,0.02
CYP1034A,CYP291A,0.02
CYP1034A,CYP51B,0.02
CYP1034A,New_subf_1_CYP144,0.02
CYP1034A,New_subf_2_New_family_1,0.02
CYP1034A,New_subf_3_CYP187,0.02
CYP1034A,New_subf_7_New_family_2,0.02
CYP1034A,New_subf_8_CYP150,0.02
CYP1034A,New_subf_9_CYP105,0.02
CYP105Q,CYP1027B,0.01
CYP105Q,CYP102B,0.005
CYP105Q,CYP1034A,0.02
CYP105Q,CYP105S,0.02
CYP105Q,CYP107AA,0.015
CYP105Q,CYP107AB1P,0.015
CYP105Q,CYP108B,0.06
CYP105Q,CYP123A,0.06
CYP105Q,CYP123B,0.01
CYP105Q,CYP124A,0.06
CYP105Q,CYP125A,0.06
CYP105Q,CYP125F,0.02
CYP105Q,CYP126A,0.06
CYP105Q,CYP130A,0.06
CYP105Q,CYP135B,0.025
CYP105Q,CYP136A,0.06
CYP105Q,CYP136B,0.02
CYP105Q,CYP136D,0.005
CYP105Q,CYP138A,0.06
CYP105Q,CYP139A,0.025
CYP105Q,CYP140A,0.06
CYP105Q,CYP140B,0.035
CYP105Q,CYP142A,0.06
CYP105Q,CYP143A,0.03
CYP105Q,CYP144A,0.03
CYP105Q,CYP150A,0.06
CYP105Q,CYP151A,0.02
CYP105Q,CYP153A1,0.005
CYP105Q,CYP164A,0.055
CYP105Q,CYP185A,0.055
CYP105Q,CYP186A,0.015
CYP105Q,CYP187A,0.06
CYP105Q,CYP188A,0.06
CYP105Q,CYP189A,0.06
CYP105Q,CYP189A1,0.015
CYP105Q,CYP190A,0.06
CYP105Q,CYP191A,0.06
CYP105Q,CYP243A,0.035
CYP105Q,CYP268A,0.055
CYP105Q,CYP268B,0.02
CYP105Q,CYP272A,0.025
CYP105Q,CYP279A,0.055
CYP105Q,CYP282B,0.01
CYP105Q,CYP291A,0.035
CYP105Q,CYP51B,0.06
CYP105Q,New_subf_10_CYP1027,0.005
CYP105Q,New_subf_11_CYP188,0.005
