Subfamily,Absidia_glauca_gca_900079185.AG_v1.pep.all,Absidia_repens_gca_002105175.Absrep1.pep.all,Acaromyces_ingoldii_gca_003144295.Acain1.pep.all,Acidomyces_richmondensis_bfw_gca_001592465.Acidomyces_richmondensis_BFW_v1.0.pep.all,Acidomyces_richmondensis_gca_001572075.ASM157207v1.pep.all,Agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555.Agabi_varbur_1.pep.all,Alternaria_alternata_gca_001642055.Altal1.pep.all,Amorphotheca_resinae_atcc_22711_gca_003019875.Amore1.pep.all,Aspergillus_indologenus_cbs_114_80_gca_003184685.Aspind1.pep.all,Aspergillus_japonicus_cbs_114_51_gca_003184785.Aspjap1.pep.all
CYP5027A,0,0,1,0,0,0,0,0,0,0
CYP502B,0,0,0,0,0,1,0,0,0,0
CYP5037B,0,0,0,0,0,2,0,0,0,0
CYP5042A,0,0,0,0,0,0,0,0,1,1
CYP5046A,0,0,0,0,0,0,1,0,1,0
CYP504A,0,0,0,1,1,0,1,1,1,1
CYP504B,0,0,0,0,0,0,1,1,1,1
CYP504C,0,0,1,0,0,0,0,0,0,0
CYP504E,0,0,0,1,1,0,1,0,0,0
CYP5050A,0,0,0,1,1,0,0,0,1,0
CYP5053A,0,0,0,0,0,0,1,0,0,0
CYP5053C,0,0,0,2,3,0,2,0,0,0
CYP505A,0,0,0,0,0,0,1,0,0,0
CYP505A2,0,0,0,1,1,0,0,0,0,0
CYP505C,0,0,0,0,0,0,0,0,1,0
CYP505K,0,0,0,1,1,0,0,0,0,0
CYP5061B,0,0,0,0,0,0,0,0,1,1
CYP5063A,0,0,0,0,0,0,1,0,0,0
CYP5066B,0,0,0,0,0,0,0,0,1,1
CYP5068A,0,0,0,0,0,0,0,0,0,1
CYP5075A,0,0,0,0,0,0,0,0,1,1
CYP5075B,0,0,0,0,0,0,0,0,1,1
CYP5076B,0,0,0,0,0,0,1,0,0,0
CYP5078A,0,0,0,1,1,0,0,1,0,0
CYP5078B,0,0,0,1,1,0,0,0,0,0
CYP5080A,0,0,0,0,0,0,1,0,0,0
CYP5080B,0,0,0,0,0,0,0,0,1,1
CYP5087A,0,0,0,0,0,0,0,0,1,0
CYP5093A,0,0,0,1,1,0,1,1,0,0
CYP5095A,0,0,0,0,0,0,0,0,1,1
CYP5103B,0,0,0,0,0,0,1,0,0,0
CYP5105A,0,0,0,0,0,0,0,0,1,1
CYP5108A,0,0,0,0,0,0,0,0,0,1
CYP5111A,0,0,0,0,0,0,0,0,1,1
CYP5113A,0,0,0,0,0,0,0,0,1,0
CYP5125A,0,0,0,0,0,0,0,0,1,1
CYP5127A,0,0,0,0,0,0,1,0,0,0
CYP5128B,0,0,0,0,0,0,1,1,0,0
CYP5148B,0,0,0,0,0,2,0,0,0,0
CYP5151A,0,0,0,0,0,1,0,0,0,0
CYP5151B,0,0,0,0,0,1,0,0,0,0
CYP5168A,0,0,0,0,0,0,0,1,0,0
CYP5176A,0,0,0,0,0,0,0,0,1,1
CYP5183A,0,0,0,0,0,0,0,0,1,0
