Family,Absidia_glauca_gca_900079185.AG_v1.pep.all,Absidia_repens_gca_002105175.Absrep1.pep.all,Acaromyces_ingoldii_gca_003144295.Acain1.pep.all,Acidomyces_richmondensis_bfw_gca_001592465.Acidomyces_richmondensis_BFW_v1.0.pep.all,Acidomyces_richmondensis_gca_001572075.ASM157207v1.pep.all,Agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555.Agabi_varbur_1.pep.all,Alternaria_alternata_gca_001642055.Altal1.pep.all,Amorphotheca_resinae_atcc_22711_gca_003019875.Amore1.pep.all,Aspergillus_indologenus_cbs_114_80_gca_003184685.Aspind1.pep.all,Aspergillus_japonicus_cbs_114_51_gca_003184785.Aspjap1.pep.all
CYP502,0,0,0,0,0,1,0,0,0,0
CYP5026,0,0,3,0,0,0,0,0,0,0
CYP5027,0,0,1,0,0,0,0,0,0,0
CYP5028,0,0,1,0,0,0,0,0,0,0
CYP5032,0,0,0,0,0,2,0,0,0,0
CYP5037,0,0,0,0,0,4,0,0,0,0
CYP504,0,0,1,2,2,0,3,2,2,2
CYP5042,0,0,0,0,0,0,0,0,1,1
CYP5043,0,0,0,0,0,0,0,1,0,0
CYP5046,0,0,0,0,0,0,1,0,1,0
CYP505,0,0,0,2,2,0,1,1,2,1
CYP5050,0,0,0,1,1,0,1,0,1,0
CYP5053,0,0,0,2,3,0,3,0,0,0
CYP5061,0,0,0,0,0,0,0,0,1,1
CYP5062,0,0,0,0,0,0,0,0,1,1
CYP5063,0,0,0,0,0,0,1,0,0,0
CYP5066,0,0,0,0,0,0,0,0,1,1
CYP5068,0,0,0,0,0,0,0,0,0,1
CYP5075,0,0,0,0,0,0,0,0,2,2
CYP5076,0,0,0,0,0,0,1,0,0,0
CYP5078,0,0,0,2,2,0,0,1,0,0
CYP5080,0,0,0,0,0,0,2,0,1,1
CYP5087,0,0,0,0,0,0,0,0,2,1
CYP5089,0,0,0,0,0,0,0,0,1,1
CYP509,7,12,0,0,0,0,0,0,0,0
CYP5093,0,0,0,1,1,0,1,1,0,0
CYP5095,0,0,0,0,0,0,0,1,1,1
CYP5096,0,0,0,0,0,0,0,0,1,2
CYP51,2,2,1,1,1,1,1,1,2,2
CYP5103,0,0,0,0,0,0,1,0,0,0
CYP5104,0,0,0,1,1,0,0,0,0,0
CYP5105,0,0,0,0,0,0,0,0,1,1
CYP5108,0,0,0,0,0,0,0,0,0,1
CYP5111,0,0,0,0,0,0,0,0,1,1
CYP5113,0,0,0,0,0,0,0,0,1,0
CYP5114,0,0,0,0,0,0,0,0,1,1
CYP5119,0,0,0,0,0,0,0,0,1,1
CYP5125,0,0,0,0,0,0,0,0,1,1
CYP5127,0,0,0,0,0,0,1,0,0,0
CYP5128,0,0,0,0,0,0,1,1,0,0
CYP5137,0,0,0,0,0,1,0,0,0,0
CYP5139,0,0,0,0,0,1,0,0,0,0
CYP5140,0,0,0,0,0,1,0,0,0,0
CYP5141,0,0,0,0,0,6,0,0,0,0
CYP5145,0,0,0,0,0,1,0,0,0,0
CYP5148,0,0,0,0,0,2,0,0,0,0
CYP5150,0,0,0,0,0,10,0,0,0,0
CYP5151,0,0,0,0,0,2,0,0,0,0
CYP5152,0,0,0,0,0,1,0,0,0,0
CYP5156,0,0,0,0,0,1,0,0,0,0
CYP5168,0,0,0,0,0,0,0,1,1,0
CYP5171,0,0,0,0,0,0,0,0,1,1
CYP5176,0,0,0,0,0,0,0,0,1,1
CYP5179,0,0,0,0,0,0,0,0,1,0
CYP5183,0,0,0,0,0,0,0,0,1,0
CYP5189,0,0,0,1,1,0,0,0,0,0
CYP5190,0,0,0,1,1,0,0,0,0,0
CYP5196,0,0,0,1,1,0,0,0,0,0
CYP52,0,0,0,1,1,0,2,1,3,3
CYP5203,12,7,0,0,0,0,0,0,0,0
CYP5205,2,1,0,0,0,0,0,0,0,0
CYP5208,1,1,0,0,0,0,0,0,0,0
CYP5210,2,2,0,0,0,0,0,0,0,0
CYP5211,1,1,0,0,0,0,0,0,0,0
CYP5238,0,0,0,0,0,0,1,0,0,0
CYP5259,0,0,0,0,0,0,1,0,0,0
CYP5268,0,0,0,0,0,0,0,1,0,0
CYP527,0,0,0,0,0,0,1,0,0,0
CYP5275,0,0,0,0,0,0,0,0,1,1
CYP5282,0,0,0,0,0,0,0,0,0,1
CYP5294,0,0,0,0,0,0,0,0,1,0
CYP53,0,0,1,1,1,2,1,2,1,1
CYP530,0,0,0,1,1,0,1,6,1,1
CYP5301,0,0,0,0,0,0,1,0,0,0
CYP5305,0,0,0,1,1,0,0,0,0,0
CYP5307,0,0,0,0,0,0,1,0,0,0
CYP5308,0,0,0,0,0,0,0,1,0,0
CYP531,0,0,0,0,0,0,0,1,0,0
CYP5311,2,2,0,0,0,0,0,0,0,0
CYP5313,2,2,0,0,0,0,0,0,0,0
CYP532,0,0,0,2,2,0,2,1,0,0
CYP534,0,0,0,1,1,0,0,0,0,0
CYP535,0,0,0,0,0,0,2,0,0,0
CYP536,0,0,0,1,1,0,0,0,0,0
CYP537,0,0,0,0,0,0,0,0,1,1
CYP539,0,0,0,1,1,0,1,1,1,1
CYP540,0,0,0,0,0,0,1,1,2,3
CYP541,0,0,0,0,0,0,0,0,1,1
CYP543,0,0,0,1,1,0,1,0,0,0
CYP544,0,0,0,0,0,0,0,1,0,0
CYP545,0,0,0,0,0,0,1,0,0,0
CYP547,0,0,0,0,0,0,1,1,0,0
CYP548,0,0,0,2,2,0,2,1,2,3
