Subfamily,1764.11.PATRIC,1770.10.PATRIC,1770.19.PATRIC,1770.39.PATRIC,1770.9.PATRIC,1767.10.PATRIC,1767.9.PATRIC,1765.277.PATRIC,1765.319.PATRIC,1765.321.PATRIC,1765.323.PATRIC,1765.326.PATRIC,1766.6.PATRIC,1771.11.PATRIC,1772.10.PATRIC,1772.11.PATRIC,1772.19.PATRIC,1773.225.PATRIC,1773.232.PATRIC,1773.226.PATRIC,1773.228.PATRIC,1773.229.PATRIC,1773.230.PATRIC,1773.231.PATRIC,1773.233.PATRIC,1773.234.PATRIC,1773.235.PATRIC,1773.236.PATRIC,1773.237.PATRIC,1773.238.PATRIC,1773.239.PATRIC,1773.240.PATRIC,1773.241.PATRIC,1773.242.PATRIC,1773.243.PATRIC,1773.244.PATRIC,1773.245.PATRIC,1773.246.PATRIC,1773.247.PATRIC,1773.249.PATRIC,1773.250.PATRIC,1773.251.PATRIC,1773.31.PATRIC,1773.349.PATRIC,1773.248.PATRIC,1773.522.PATRIC,1773.554.PATRIC,1773.227.PATRIC,1773.523.PATRIC,1773.224.PATRIC
CYP1027B,0,0,0,0,0,[['fig|1767.10.peg.1852|CKJ61_09150']],[['fig|1767.9.peg.1436|CKJ67_07160']],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP102B,0,0,0,0,0,0,0,0,0,0,0,0,[['fig|1766.6.peg.1782|XA26_18010']],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP1034A,0,[['fig|1770.10.peg.1690']],[['fig|1770.19.peg.2341|A0V42_11115']],[['fig|1770.39.peg.3158|CEP84_15130']],[['fig|1770.9.peg.1707']],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP105Q,"[['fig|1764.11.peg.4627|BBJ32_22285', 'fig|1764.11.peg.2781|BBJ32_13465']]","[['fig|1770.10.peg.3251', 'fig|1770.10.peg.2459']]","[['fig|1770.19.peg.753|A0V42_03600', 'fig|1770.19.peg.1565|A0V42_07490']]","[['fig|1770.39.peg.4789|CEP84_22785', 'fig|1770.39.peg.3950|CEP84_18805']]","[['fig|1770.9.peg.3279', 'fig|1770.9.peg.2475']]","[['fig|1767.10.peg.766|CKJ61_03825', 'fig|1767.10.peg.2838|CKJ61_13950']]","[['fig|1767.9.peg.2784|CKJ67_13685', 'fig|1767.9.peg.776|CKJ67_03915']]",0,0,0,0,0,[['fig|1766.6.peg.4224|XA26_42470']],[['fig|1771.11.peg.3773|MPHLCCUG_03801']],[['fig|1772.10.peg.4723']],[['fig|1772.11.peg.4718']],[['fig|1772.19.peg.4792|ERS451418_04709']],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP105S,0,0,0,0,0,0,0,0,0,0,0,0,[['fig|1766.6.peg.714|XA26_07210']],0,[['fig|1772.10.peg.749']],[['fig|1772.11.peg.751']],[['fig|1772.19.peg.789|ERS451418_00785']],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP107AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[['fig|1772.10.peg.3073']],[['fig|1772.11.peg.3072']],[['fig|1772.19.peg.3171|ERS451418_03126']],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP107AB1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[['fig|1772.10.peg.1983']],[['fig|1772.11.peg.1985']],[['fig|1772.19.peg.2085|ERS451418_02055']],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP108B,[['fig|1764.11.peg.259|BBJ32_01260']],[['fig|1770.10.peg.1497']],[['fig|1770.19.peg.2543|A0V42_12105']],[['fig|1770.39.peg.2953|CEP84_14150']],[['fig|1770.9.peg.1512']],"[['fig|1767.10.peg.1468|CKJ61_07290', 'fig|1767.10.peg.4394|CKJ61_21655']]","[['fig|1767.9.peg.4608|CKJ67_22580', 'fig|1767.9.peg.1690|CKJ67_08395']]",0,0,0,0,0,"[['fig|1766.6.peg.2232|XA26_22450', 'fig|1766.6.peg.1415|XA26_14330']]","[['fig|1771.11.peg.1285|MPHLCCUG_01301', 'fig|1771.11.peg.1917|MPHLCCUG_01934', 'fig|1771.11.peg.1284|MPHLCCUG_01300']]","[['fig|1772.10.peg.2208', 'fig|1772.10.peg.1408', 'fig|1772.10.peg.1409']]","[['fig|1772.11.peg.2211', 'fig|1772.11.peg.1411', 'fig|1772.11.peg.1412']]","[['fig|1772.19.peg.2316|ERS451418_02280', 'fig|1772.19.peg.1502|ERS451418_01489', 'fig|1772.19.peg.1503|ERS451418_01490']]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP121A,0,0,0,0,0,0,0,[['fig|1765.277.peg.2475']],[['fig|1765.319.peg.2529|AA885_11870']],[['fig|1765.321.peg.2522|Mb1595_p2536']],[['fig|1765.323.peg.2477|BOVR_11795']],[['fig|1765.326.peg.2603|RN07_2463']],0,0,0,0,0,[['fig|1773.225.peg.3984|IU21_09740']],[['fig|1773.232.peg.1242|T209_09390']],[['fig|1773.226.peg.1579|IU13_09520']],[['fig|1773.228.peg.3686|IU15_09750']],[['fig|1773.229.peg.2067|IQ42_09535']],[['fig|1773.230.peg.1445|IQ48_09430']],[['fig|1773.231.peg.1437|IU16_09470']],[['fig|1773.233.peg.1379|IQ47_09400']],[['fig|1773.234.peg.1433|IU17_09420']],[['fig|1773.235.peg.1346|IQ45_09420']],[['fig|1773.236.peg.520|IQ39_09135']],[['fig|1773.237.peg.418|IQ41_09065']],[['fig|1773.238.peg.555|IQ43_09265']],[['fig|1773.239.peg.562|IQ46_09260']],[['fig|1773.240.peg.1047|IU18_09385']],[['fig|1773.241.peg.827|IU24_09340']],[['fig|1773.242.peg.888|IU14_09285']],[['fig|1773.243.peg.1054|IU19_09420']],[['fig|1773.244.peg.1027|IU22_09400']],[['fig|1773.245.peg.1016|IU20_09355']],[['fig|1773.246.peg.1018|IU23_09355']],[['fig|1773.247.peg.743|IQ44_09350']],[['fig|1773.249.peg.2507|ER17_12040']],[['fig|1773.250.peg.2529|IZ84_12160']],[['fig|1773.251.peg.2516|JE53_12150']],[['fig|1773.31.peg.3915|UDA_2276']],[['fig|1773.349.peg.216']],[['fig|1773.248.peg.2601|IQ40_09440']],[['fig|1773.522.peg.2509|LJ70_12300']],[['fig|1773.554.peg.2605|UB21_12040']],[['fig|1773.227.peg.4050|IQ38_09800']],[['fig|1773.523.peg.2537|LJ80_12445']],[['fig|1773.224.peg.579|IU12_10015']]
CYP123A,[['fig|1764.11.peg.2668|BBJ32_12910']],[['fig|1770.10.peg.3358']],[['fig|1770.19.peg.644|A0V42_03060']],[['fig|1770.39.peg.105|CEP84_00545']],[['fig|1770.9.peg.3386']],[['fig|1767.10.peg.617|CKJ61_03060']],[['fig|1767.9.peg.608|CKJ67_03065']],[['fig|1765.277.peg.853']],[['fig|1765.319.peg.864']],[['fig|1765.321.peg.852|Mb1595_p0857']],[['fig|1765.323.peg.849']],[['fig|1765.326.peg.877|RN07_0832']],[['fig|1766.6.peg.977|XA26_09860']],[['fig|1771.11.peg.646|MPHLCCUG_00653']],[['fig|1772.10.peg.5690']],[['fig|1772.11.peg.5689']],[['fig|1772.19.peg.5771|ERS451418_05679']],0,[['fig|1773.232.peg.2650|T209_15515']],[['fig|1773.226.peg.2994|IU13_15770']],[['fig|1773.228.peg.718|IU15_16085']],[['fig|1773.229.peg.3486|IQ42_15760']],[['fig|1773.230.peg.2849|IQ48_15645']],[['fig|1773.231.peg.2880|IU16_15700']],[['fig|1773.233.peg.2764|IQ47_15530']],[['fig|1773.234.peg.2909|IU17_15590']],[['fig|1773.235.peg.2755|IQ45_15575']],[['fig|1773.236.peg.1946|IQ39_15295']],[['fig|1773.237.peg.1850|IQ41_15200']],[['fig|1773.238.peg.2032|IQ43_15415']],[['fig|1773.239.peg.2063|IQ46_15430']],[['fig|1773.240.peg.2466|IU18_15555']],[['fig|1773.241.peg.2268|IU24_15485']],[['fig|1773.242.peg.2349|IU14_15440']],[['fig|1773.243.peg.2444|IU19_15575']],[['fig|1773.244.peg.2376|IU22_15575']],[['fig|1773.245.peg.2436|IU20_15490']],[['fig|1773.246.peg.2445|IU23_15490']],[['fig|1773.247.peg.2114|IQ44_15505']],[['fig|1773.249.peg.837|ER17_04040']],[['fig|1773.250.peg.847|IZ84_04080']],[['fig|1773.251.peg.841|JE53_04085']],"[['fig|1773.31.peg.2090|UDA_0766c', 'fig|1773.31.peg.2089']]","[['fig|1773.349.peg.2026', 'fig|1773.349.peg.2027']]",[['fig|1773.248.peg.4041|IQ40_15615']],[['fig|1773.522.peg.835|LJ70_04125']],[['fig|1773.554.peg.873|UB21_04050']],0,[['fig|1773.523.peg.843|LJ80_04150']],[['fig|1773.224.peg.1919|IU12_16485']]
CYP123B,0,0,0,0,0,[['fig|1767.10.peg.708|CKJ61_03545']],"[['fig|1767.9.peg.718|CKJ67_03625', 'fig|1767.9.peg.720|CKJ67_03635']]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP124A,[['fig|1764.11.peg.4053|BBJ32_19540']],[['fig|1770.10.peg.1873']],[['fig|1770.19.peg.2156|A0V42_10265']],[['fig|1770.39.peg.3352|CEP84_16005']],[['fig|1770.9.peg.1889']],[['fig|1767.10.peg.2199|CKJ61_10845']],[['fig|1767.9.peg.2179|CKJ67_10770']],[['fig|1765.277.peg.2465']],[['fig|1765.319.peg.2518|AA885_11820']],[['fig|1765.321.peg.2512|Mb1595_p2525']],[['fig|1765.323.peg.2466|BOVR_11745']],[['fig|1765.326.peg.2592|RN07_2454']],[['fig|1766.6.peg.3302|XA26_33180']],[['fig|1771.11.peg.2411|MPHLCCUG_02433']],[['fig|1772.10.peg.3480']],[['fig|1772.11.peg.3479']],[['fig|1772.19.peg.3584|ERS451418_03522']],[['fig|1773.225.peg.3972|IU21_09695']],[['fig|1773.232.peg.1233|T209_09345']],[['fig|1773.226.peg.1567|IU13_09475']],[['fig|1773.228.peg.3676|IU15_09705']],[['fig|1773.229.peg.2057|IQ42_09490']],[['fig|1773.230.peg.1434|IQ48_09385']],[['fig|1773.231.peg.1427|IU16_09425']],[['fig|1773.233.peg.1369|IQ47_09355']],[['fig|1773.234.peg.1423|IU17_09375']],[['fig|1773.235.peg.1335|IQ45_09375']],[['fig|1773.236.peg.511|IQ39_09090']],[['fig|1773.237.peg.410|IQ41_09020']],[['fig|1773.238.peg.545|IQ43_09220']],[['fig|1773.239.peg.553|IQ46_09215']],[['fig|1773.240.peg.1038|IU18_09340']],[['fig|1773.241.peg.817|IU24_09295']],[['fig|1773.242.peg.879|IU14_09240']],[['fig|1773.243.peg.1043|IU19_09375']],[['fig|1773.244.peg.1019|IU22_09355']],[['fig|1773.245.peg.1006|IU20_09310']],[['fig|1773.246.peg.1008|IU23_09310']],[['fig|1773.247.peg.733|IQ44_09305']],[['fig|1773.249.peg.2497|ER17_11995']],[['fig|1773.250.peg.2519|IZ84_12115']],[['fig|1773.251.peg.2507|JE53_12105']],[['fig|1773.31.peg.3905|UDA_2266']],[['fig|1773.349.peg.227']],[['fig|1773.248.peg.2590|IQ40_09395']],[['fig|1773.522.peg.2499|LJ70_12250']],[['fig|1773.554.peg.2595|UB21_11990']],[['fig|1773.227.peg.4040|IQ38_09755']],[['fig|1773.523.peg.2527|LJ80_12395']],[['fig|1773.224.peg.569|IU12_09970']]
